AuthorVerbeke,Mathias 0.200000
AuthorHan,Chao 0.200000
AuthorHenderer,Joe 0.200000
AuthorStone,Rebecca 0.200000
AuthorGÃ¶hring,Anne 0.200000
AuthorNovak,Michal 0.200000
AuthorGonÃ§alves,Teresa 0.200000
AuthorMausam, 0.200000
AuthorYarowsky,David 0.212370
AuthorGoguen,J. A. 0.200000
AuthorEskin,Eleazar 0.200000
AuthorKubo&#x148;,Vladislav 0.200000
AuthorKedia,Piyush 0.200000
AuthorWallace,Byron C. 0.200000
AuthorHan,Xufeng 0.200000
AuthorFeldweg,Helmut 0.200000
AuthorGutiÃ©rrez,Yoan 0.200000
AuthorGordon,Jonathan 0.200000
AuthorGoldsmith,John 0.208941
AuthorSaint-Dizier,Patrick 0.200000
AuthorLau,Raymond 0.200000
AuthorMoss,Lawrence S. 0.200000
AuthorVidulin,Vedrana 0.200000
AuthorRachevsky,Leonid 0.200000
AuthorFrank,Anette 0.200000
AuthorNishizawa,Toshihiro 0.200000
AuthorSider,Ira 0.200000
AuthorRapaport,William J. 0.200000
AuthorKo,Wunna Ko 0.200000
AuthorDandala,Bharath 0.200000
AuthorRiedl,Martin 0.200000
AuthorLee,Kyusong 0.200000
AuthorLuctkens,E. 0.200000
AuthorSchlaefer,Nico 0.200000
AuthorDugas,Andre 0.200000
AuthorDupuch,Marie 0.200000
AuthorPantel,Patrick 0.200000
AuthorAvram,Dana 0.200000
AuthorMacchi,Marian 0.200000
AuthorRanjbar-Sahraei,Bijan 0.200000
AuthorSchneider,Gerold 0.200000
AuthorKaji,Reiko 0.200000
AuthorYao,Jin-ge 0.200000
AuthorProdanof,Irina 0.200000
AuthorSaygin,Yucel 0.200000
AuthorKhan,Nazan 0.200000
AuthorHammond,Jeremy 0.200000
AuthorManios,Kostas 0.200000
AuthorUeno,Shinichi 0.200000
AuthorRue,Henrik 0.200000
AuthorKim,Deok-Bong 0.200000
AuthorPark,Sang-Kyu 0.200000
AuthorMatthiessen,Christian M. I. M. 0.200000
AuthorRazmara,Majid 0.200000
AuthorHerder,Eelco 0.200000
AuthorHanaoka,Hiroki 0.200000
AuthorBeckley,Russell 0.200000
AuthorYang,Zhenxin 0.200000
AuthorWitkam,A. P. M. 0.200000
AuthorBracewell,David 0.200000
AuthorJ&ouml;nsson,Arne 0.200000
AuthorChung,Tagyoung 0.200000
AuthorPakray,Partha 0.200000
AuthorXu,Mingwei 0.200000
AuthorAlu&iacute;sio,Sandra 0.200000
AuthorChase,Greg 0.200000
AuthorKorycinski,Chris 0.200000
Authorvan Santen,Jan 0.200000
AuthorBrodda,Benny 0.200000
AuthorLutz,Rudi 0.200000
AuthorYates,Alexander 0.200000
AuthorBrockmann,Carsten 0.200000
AuthorMatsui,Tomoko 0.200000
AuthorLansdall-Welfare,Thomas 0.200000
AuthorKornai,Andr&aacute;s 0.200000
AuthorDoi,Hirohumi 0.200000
AuthorBrixtel,Romain 0.200000
AuthorP&eacute;rez,Javier 0.200000
AuthorCorpas,Gloria 0.200000
AuthorRoberts,Susan 0.200000
AuthorOsborne,Richard 0.200000
AuthorBoer Rookhuiszen,Roan 0.200000
AuthorTakuma,Daisuke 0.200000
AuthorPhillips,John 0.200000
AuthorPetrovic,Sasa 0.200000
AuthorItoh,Yukihiro 0.200000
AuthorHorsfall,Heather J. 0.200000
AuthorHagen,Eli 0.200000
AuthorWooldridge,Michael 0.200000
AuthorYamura-Takei,Mitsuko 0.200000
AuthorBecket,Ralph 0.200000
AuthorRichter,Georg 0.200000
AuthorBeineke,Philip 0.200000
AuthorGiannakopoulos,George 0.200000
AuthorFarra,Noura 0.216000
AuthorSun,Maosong 0.200000
AuthorVan Breugel,Camiel 0.200000
AuthorMatula,Valentine 0.200000
AuthorTsuchiya,Masatoshi 0.200000
AuthorGibert,Karina 0.200000
AuthorHaigh,Robin 0.200000
AuthorSong,Mansuk 0.200000
AuthorGrappy,Arnaud 0.200000
AuthorMertineit,O. 0.200000
AuthorRaab,Jan 0.200000
AuthorLjube&scaron;i&cacute;,Nikola 0.200000
AuthorD&Atilde;&shy;az de Ilarraza,A. 0.200000
AuthorTanaka,Yasuhito 0.200000
AuthorNguy,Giang Linh 0.200000
AuthorFong,Sandiway 0.200000
AuthorBryant,Christopher 0.200000
AuthorLungen,Harald 0.200000
AuthorRedlawsk,David P. 0.200000
AuthorCucerzan,Silviu 0.200000
AuthorLehrberger,Jack 0.200000
AuthorLachler,Jordan 0.200000
AuthorOgawa,Yasuhiro 0.200000
AuthorVan Leeuwen,Hugo 0.200000
AuthorAlexandersson,Jan 0.200000
AuthorWoliÅ„ski,Marcin 0.200000
AuthorKratkiewicz,Gary 0.200000
AuthorSchmitz,Sylvain 0.200000
AuthorMini,Marianna 0.200000
AuthorCankaya,Hakki C. 0.200000
AuthorNordner,Anders 0.200000
AuthorZhou,Qi 0.200000
AuthorMcCoy,Wilson 0.200000
AuthorBastin,V. 0.200000
AuthorIvanov,Alexei V. 0.200000
AuthorKowtko,Jacqueline C. 0.200000
AuthorWunsch,Holger 0.200000
Authorvan Deemter,Kees 0.200000
AuthorBeigman Klebanov,Beata 0.200000
AuthorFu,Guohong 0.200000
AuthorStachowitz,Annette 0.200000
AuthorDershowitz,Nachum 0.200000
AuthorXiao,Jianguo 0.200000
AuthorKing,James 0.200000
AuthorMcNamara,Danielle S. 0.200000
AuthorCaselli,Tommaso 0.200000
AuthorRamÃ­rez-SÃ¡nchez,Gema 0.200000
AuthorBuntine,Wray 0.200000
AuthorKazama,Jun'ichi 0.200000
AuthorKambayashi,Yahiko 0.200000
AuthorHahn,Florian 0.200000
AuthorCencioni,Roberto 0.200000
AuthorLee,Chun-Jen 0.200000
AuthorSaha Roy,Rishiraj 0.200000
AuthorPignataro,Vincenza 0.200000
AuthorJin,Qin 0.200000
AuthorKalyanpur,Aditya 0.200000
AuthorWang,Wenting 0.200000
AuthorManion,Steve L. 0.200000
AuthorStepanov,Arthur 0.200000
AuthorTolba,Hesham 0.200000
AuthorKiefer,Bernd 0.200000
AuthorWynne,Martin 0.200000
AuthorHalacsy,Peter 0.200000
Author,Stanley 0.200000
AuthorSinger,Harald 0.200000
AuthorVol&iacute;n,Jan 0.200000
AuthorKaalep,Heiki-Jaan 0.200000
AuthorTempleton,Marjorie 0.200000
AuthorYamada,Atsushi 0.200000
AuthorReddy,Sravana 0.200000
AuthorVartapetiance,Anna 0.200000
AuthorGoodine,D. 0.200000
AuthorBoye,Johan 0.200000
AuthorT'sou,Benjamin K. 0.200000
AuthorXu,Puyang 0.200000
AuthorAnechitei,Daniel 0.200000
AuthorGilbert,Eric 0.200000
AuthorKobayashi,Hayato 0.200000
AuthorChoi,Jinwook 0.200000
AuthorZulu,Peleira Nicholas 0.200000
AuthorGelas,Hadrien 0.200000
AuthorTomuro,Noriko 0.200000
AuthorPrescher,Detlef 0.200000
AuthorStein,Benno 0.200000
AuthorTowell,Geoffrey 0.200000
AuthorAltamirano,Ivana Romina 0.200000
AuthorMorency,Louis-Philippe 0.200000
AuthorPalm,G&uuml;nther 0.200000
AuthorJeÂžek,Karel 0.200000
AuthorEales,James 0.200000
AuthorJur&#x10D;&iacute;&#x10D;ek,Filip 0.200000
AuthorVan Der Feen,Marieke 0.200000
AuthorMarques Pelizzoni,Jorge 0.200000
AuthorBerendsen,Egon 0.200000
AuthorKurahone,Akira 0.200000
AuthorSim,Khe Chai 0.200000
AuthorRoller,Stephen 0.200000
AuthorReidsma,Dennis 0.200000
AuthorKobdani,Hamidreza 0.200000
AuthorChengalvarayan,Rathinavelu 0.200000
AuthorWisniewski,Guillaume 0.200000
AuthorTsai,Shih-Chung 0.200000
AuthorLai,Alice 0.200000
AuthorDo,Quoc Khanh 0.200000
AuthorFranzen,Kristofer 0.200000
AuthorMcCray,Alexa T. 0.200000
AuthorRussi,Thomas 0.200000
AuthorBusa,Roberto 0.200000
AuthorBosca,Alessio 0.200000
AuthorGrimmer,Justin 0.200000
AuthorBisk,Yonatan 0.200000
AuthorLeidner,Jochen L. 0.200000
AuthorGuilbaud,Jean-Philippe 0.200000
AuthorKunze,Jurgen 0.200000
AuthorStieglitz,Stefan 0.200000
AuthorBarrett,Leon 0.200000
AuthorMachacek,Matous 0.200000
AuthorFinlayson,Mark 0.200000
AuthorRehfuss,Steve 0.200000
AuthorLetard,Vincent 0.200000
AuthorEl-Haj,Mahmoud 0.200000
AuthorRankel,Peter A. 0.200000
AuthorHoungbo,Hospice 0.200000
AuthorFei,Geli 0.200000
AuthorJanus,Daniel 0.200000
AuthorEguchi,Koji 0.200000
AuthorGhosh,Debanjan 0.200000
AuthorMizumoto,Tomoya 0.200000
AuthorWong,Yuk Wah 0.200941
AuthorSelouani,Sid-Ahmed 0.200000
AuthorFriedman,Joyce 0.200000
AuthorSmith,Simon 0.200000
AuthorSedl&aacute;&#x10D;ek,Radek 0.200000
AuthorBach,Nguyen 0.200000
AuthorPrassad,Rashmi 0.200000
AuthorOr&#x103;san,Constantin 0.200000
AuthorYu,Haitao 0.200000
AuthorBachimont,Bruno 0.200000
AuthorRodriguez,Horacio 0.200000
AuthorChen,Wan 0.200000
AuthorG&ouml;tze,Michael 0.200000
AuthorJerome,Simon 0.200000
AuthorHo,Simon 0.200000
AuthorWeinberg,Amy S. 0.200000
AuthorTakeoka,Atsue 0.200000
AuthorHovermale,D. J. 0.200000
AuthorLehnen,Patrick 0.200000
AuthorKiyota,Yoji 0.200000
AuthorLee,Yeha 0.200000
AuthorFei,Xiaoxu 0.200000
AuthorTomokiyo,Mutsuko 0.200000
AuthorBlondel,Marion 0.200000
AuthorGul-Rajani,Greg 0.200000
AuthorFowler,Abraham 0.200000
AuthorDuvignau,Karine 0.200000
AuthorBuckwalter,Tim 0.200000
AuthorCho,Hyung Joon 0.200000
AuthorTzirkel,Eli 0.200000
AuthorBenson,Edward 0.200000
AuthorAgarwal,Abhaya 0.203265
AuthorQing,Ciyang 0.200000
AuthorFenlon,Caroline 0.200000
AuthorVu,Ngoc Thang 0.200000
AuthorAkra,Diyam 0.200000
AuthorMaloor,Preetam 0.200000
AuthorOttesj&ouml;,Cajsa 0.200000
AuthorOhkuma,Tomoko 0.200000
AuthorSorensen,Jeffrey S. 0.200000
AuthorMcEntee,Tom 0.200000
AuthorOda,Kanae 0.200000
AuthorHimmel,Dave 0.200000
AuthorZou,Bowei 0.200000
AuthorKrÄmÃ¡Å™,LubomÃ­r 0.200000
AuthorSteffen,J&ouml;rg 0.200000
AuthorBosc,AmÃ©lie 0.200000
AuthorMeives,Kirby A. 0.200000
AuthorFan,Xinghua 0.200000
AuthorLu,Jia 0.200000
AuthorTakamura,Hiroya 0.200000
AuthorMatsuda,Makiko 0.200000
AuthorThornton,Wren N. G. 0.200000
AuthorMelli,Gabor 0.200000
AuthorYeung,Cho Ho 0.200000
AuthorZhang,Jason 0.200000
AuthorHamamoto,Takeshi 0.200000
AuthorMostow,Jack 0.200000
AuthorKang,Jaeho 0.200000
AuthorNemec,Petr 0.200000
AuthorOlano,Calvin 0.200000
AuthorNagy,Istv&aacute;n 0.200000
AuthorZhu,Honggang 0.200000
AuthorHuang,James 0.200000
AuthorUemura,Nobutaka 0.200000
AuthorRomero,Maribel 0.200000
AuthorRohrer,Christian 0.200000
AuthorWang,Ren-Jr 0.200000
AuthorSilva-Schlenker,Emilio 0.200000
AuthorKanayama,Hiroshi 0.200000
AuthorL'Homme,Marie-Claude 0.200000
AuthorSmrz,Pavel 0.200000
AuthorVan Durme,Benjamin 0.200000
AuthorPatten,Terry 0.200000
AuthorJanarthanam,Srinivasan 0.200000
AuthorXiao,Jing 0.200000
AuthorMinack,Enrico 0.200000
AuthorMermer,Co&scedil;kun 0.200000
AuthorWang,Jianqiang 0.200000
AuthorSugaya,Fumiaki 0.200000
AuthorBaskaya,Osman 0.200000
AuthorSchroeder,Josh 0.200000
AuthorMathews,Robert C. 0.200000
AuthorKim,UngMo 0.200000
AuthorHanson,Vicki L. 0.200000
AuthorSchafer,Charles 0.200000
AuthorSaravanan,M. 0.200000
AuthorDolan,William B. 0.200000
AuthorCai,Li 0.200000
AuthorLao,Ni 0.200000
AuthorAsada,Yoshiaki 0.200000
AuthorCooper,Robin 0.200000
AuthorWang,Yafang 0.200000
AuthorCai,Jie 0.200000
AuthorLin,Wen-Cheng 0.200000
AuthorPerez,Guillermo 0.200000
AuthorLiao,Wenhui 0.200000
AuthorBurke,Carl 0.200000
AuthorCollier,Alex 0.200000
AuthorRogers,Jon 0.200000
AuthorScharl,Arno 0.200000
AuthorHollenstein,Nora 0.200000
AuthorOkabe,Masayuki 0.200000
AuthorOzaku,Hiromi Itoh 0.200000
AuthorSpasic,Irena 0.200000
AuthorMartin,Pierre M. 0.200000
AuthorBeckman,Mary E. 0.200000
AuthorCole,Jennifer 0.200000
AuthorYi,Szuting 0.200000
AuthorMiller,John E. 0.200000
AuthorDragoni,Aldo 0.200000
AuthorWolf,Brian 0.200000
AuthorSkadina,Inguna 0.200000
AuthorYamada,Hiroshi 0.200000
AuthorHofmann,Florian 0.200000
AuthorFlach,Peter A. 0.200000
AuthorPopowich,Fred 0.200000
AuthorKodama,Yasuhiro 0.200000
AuthorBrenier,Jason M. 0.200000
AuthorShinchu,Tsuyoshi 0.200000
AuthorWhite,Mike 0.200000
AuthorVilari&Atilde;&plusmn;o,Darnes 0.200000
AuthorMarino,Andrea 0.200000
AuthorAretoulaki,Maria 0.200000
AuthorJose,Damien 0.200000
AuthorKoleva,Nikolina 0.200000
AuthorBirbanescu,Adrian 0.200000
AuthorEckmann,Jean-Pierre 0.200000
AuthorSnir,Batia 0.200000
AuthorZhang,Meishan 0.200000
AuthorStein,Daniel 0.200000
AuthorNakao,Yoshio 0.200000
AuthorGiouli,V. 0.200000
AuthorJimÃ©nez-Zafra,Salud MarÃ­a 0.200000
AuthorLu,Wanchen 0.200000
AuthorFujino,Akinori 0.200000
AuthorNishino,Fumihito 0.200000
AuthorLacroix,OphÃ©lie 0.200000
AuthorSalton,Gerard 0.200000
AuthorKahn,Dan 0.200000
AuthorLin,Wei-Shih 0.200000
AuthorGanter,Viola 0.200000
AuthorGianfortoni,Philip 0.200000
AuthorAlonge,Antonietta 0.200000
AuthorHand-Bender,Tess 0.200000
AuthorVo,Tai 0.200000
AuthorV&Atilde;&micro;handu,Leo 0.200000
AuthorMilhaud,Gerard 0.200000
AuthorChiang,Tung-Hui 0.200000
AuthorHalevy,Alon 0.200000
AuthorTurchi,Marco 0.200000
AuthorGoldberg,Andrew 0.200000
AuthorWives,Leandro 0.200000
AuthorDunietz,Jesse 0.200000
AuthorGenov,Angel 0.200000
AuthorPoulin,Chris 0.200000
AuthorToledo,Assaf 0.200000
AuthorFayruzov,Timur 0.200000
AuthorVila,Marta 0.200000
AuthorPeldszus,Andreas 0.200000
AuthorKrasavina,Olga 0.200000
AuthorFurihata,Kentaro 0.200000
AuthorGerow,Aaron 0.200000
AuthorHe,Pilian 0.200000
AuthorHung,Hsi-Chuan 0.200000
AuthorUzdilli,Fatih 0.200000
AuthorSrinivasan,Ashwin 0.200000
AuthorAist,Gregory 0.200000
AuthorTrevisan,Bianka 0.200000
AuthorBecker,Joseph D. 0.200000
AuthorDickinson,Anna 0.200000
AuthorMuischnek,Kadri 0.200000
AuthorRomanyshyn,Nicholas 0.200000
AuthorKim,Sang-Bum 0.200000
AuthorMimno,David 0.200000
AuthorDingli,Alexiei 0.200000
AuthorNagy,Istvan 0.200000
AuthorRead,Jonathon 0.200000
AuthorSong,Peng 0.200000
AuthorHuang,Hung-Chi 0.200000
AuthorSeki,Kazuhiro 0.200000
AuthorBett,Michael 0.200000
AuthorLeuski,Anton 0.200000
AuthorPetzell,Malin 0.200000
AuthorTorres Martins,Andr&eacute; Filipe 0.200000
AuthorMiller,Dale A. 0.200000
AuthorLecorv&eacute;,Gw&eacute;nol&eacute; 0.200000
AuthorWalker,Daniel 0.200000
AuthorMusic,Bradley 0.200000
AuthorBaroni,Marco 0.200941
AuthorFurlan,Aidan 0.200000
AuthorPark,Heum 0.200000
AuthorDaxenberger,Johannes 0.200000
AuthorHughes,Baden 0.200000
AuthorDing,Weiwei 0.200000
AuthorYoung,Sheryl R. 0.200000
AuthorAlbacete,Patricia 0.200000
AuthorGong,Li 0.200000
AuthorMiller,George A. 0.200000
AuthorKurimo,Mikko 0.200000
AuthorDevillers,Laurence 0.200000
AuthorMarek,Torsten 0.200000
AuthorBerthelin,Jean-Baptiste 0.200000
AuthorKanuparthi,Nikhil 0.200000
AuthorSaito,Itsumi 0.200000
AuthorRosenfeld,Roni 0.200000
AuthorNegi,Sapna 0.200000
AuthorMeurer,Paul 0.200000
AuthorRichens,Tom 0.200000
AuthorLim,Ee-Peng 0.200000
AuthorSharp,Randall 0.200000
AuthorFornaciari,Tommaso 0.200000
AuthorMaci,E. 0.200000
AuthorRoth,Dan 0.200000
AuthorKim,Jae Dong 0.200000
AuthorMiller,Michael 0.200000
AuthorFarajian,M. Amin 0.200000
AuthorHartley,Roger 0.200000
AuthorZobel,Justin 0.200000
AuthorKazemzadeh,Abe 0.200000
AuthorKrotov,Alexander 0.200000
AuthorStiller,Stephan Hyeonjun 0.200000
AuthorWang,Gen 0.200000
AuthorMunishkina,Larissa 0.200000
AuthorOakes,Michael 0.200000
AuthorMcNaught,John 0.200000
AuthorMazzei,Alessandro 0.200000
AuthorDreyer,Markus 0.200000
AuthorSamad Zadeh Kaljahi,Rasul 0.200000
AuthorNederhof,Mark-Jan 0.200000
AuthorZeng,Junyu 0.200000
AuthorGerritsen,David 0.200000
AuthorAharoni,Ehud 0.200000
AuthorBaggia,Paolo 0.200000
AuthorStetina,Jiri 0.200000
AuthorGrosjean,Francois 0.200000
AuthorGrocholewski,Stefan 0.200000
AuthorCeberio,Klara 0.200000
AuthorHiggins,Chiara 0.200000
AuthorHernÃ¡ndez,Donato 0.200000
AuthorJudge,John 0.200000
AuthorHoshino,Nami 0.200000
AuthorMoens,Marc 0.200941
AuthorGates,Donna M. 0.200000
AuthorMathe,Jacob 0.200000
AuthorKompatsiaris,Ioannis 0.200000
AuthorDai,Andrew 0.200000
AuthorDi Manzo,Mauro 0.200000
AuthorCapp&eacute;,Olivier 0.200000
AuthorLeturia,Igor 0.200000
AuthorPullum,Geoffrey K. 0.200000
AuthorJohnson,Aaron 0.200000
AuthorSt-Jacques,Claude 0.200000
AuthorSamal,Ashok 0.200000
AuthorTakebayashi,Yoichi 0.200000
AuthorDe Paiva Alves,Eduardo 0.200000
AuthorAbdul-Wahab,Mohamed 0.200000
AuthorGooskens,Charlotte 0.200000
AuthorSangkeettrakarn,Chatchawal 0.200000
AuthorGarbin,Eric 0.200000
AuthorMiller,Tim 0.200000
AuthorHÃ¼lfenhaus,Michael 0.200000
AuthorHelfman,Jonathan I. 0.200000
AuthorBills,Steven 0.200000
AuthorRichardson,John 0.200000
AuthorMehta,Sameep 0.200000
AuthorPeshkin,Leonid 0.200000
AuthorMakhoul,John 0.200000
AuthorEryiÄŸit,GÃ¼lÅŸen 0.200000
AuthorTaneva,Bilyana 0.200000
AuthorBeschke,Sebastian 0.200000
AuthorSimmons,Geoffrey 0.200000
AuthorMosquera,Alejandro 0.200000
AuthorPasserini,Andrea 0.200000
AuthorHarrington,Brian 0.200000
AuthorNaroua,Harouna 0.200000
AuthorWegstein,Werner 0.200000
AuthorWidlocher,Antoine 0.200000
AuthorVeillon,Gerard 0.200000
AuthorLetcher,Ned 0.200000
AuthorSakai,Kunio 0.200000
AuthorTabor,Whitney 0.200000
AuthorHarnly,Aaron 0.200000
AuthorColvin Clark,Ruth 0.200000
AuthorYadav,Kabir 0.200000
AuthorLee,Choonkyu 0.200000
AuthorBrunner,Annelen 0.200000
AuthorLi,Wenbo 0.200000
AuthorDeyne,Simon De 0.200000
AuthorLouka,Katerina 0.200000
AuthorLi,Shiqi 0.200000
AuthorTkat&scaron;enko,Aleksandr 0.200000
AuthorZou,Gang 0.200000
AuthorJones,Evan 0.200000
AuthorQu,Shaolin 0.200000
AuthorHendrix,Gary G. 0.200000
AuthorLang,E. 0.200000
AuthorÃ‡iÃ§ekli,Ä°lyas 0.200000
AuthorNguyen,Patrick 0.200000
AuthorGhonge,Shweta 0.200000
AuthorDavidson,Duncan 0.200000
AuthorCahill,Lynne J. 0.200000
AuthorPirlein,Thomas 0.200000
AuthorChristoffersen,Kelly 0.200000
AuthorMa,Jianqiang 0.200000
AuthorEndo,Tsutomu 0.200000
AuthorSaba,Walid S. 0.200000
AuthorMishne,Gilad 0.200000
AuthorJorgensen,Stig W. 0.200000
AuthorElliott,Debbie 0.200000
AuthorUtt,Jason 0.200000
AuthorGra&ccedil;a,Jo&atilde;o 0.200000
AuthorJhunjhunwala,Megha 0.200000
AuthorChen,Liang 0.200000
AuthorAuer,John 0.200000
AuthorSperiosu,Michael 0.200000
AuthorAnderson,Ashton 0.200000
AuthorDerr,Marcia A. 0.200000
AuthorVilliers,Jacques de 0.200000
AuthorJung,Jaeyoung 0.200000
AuthorTseng,Huihsin 0.200000
AuthorAnzaroot,Sam 0.200000
AuthorUmemura,Akihiro 0.200000
AuthorShimohata,Sayori 0.200000
AuthorAl-Haj,Hassan 0.200000
AuthorJosephson,J. 0.200000
AuthorTseng,Yuen-Hsien 0.200000
AuthorCao,Zhenfu 0.200000
AuthorFlowers,Margot 0.200000
AuthorLefeuvre,AnaÃ¯s 0.200000
AuthorClaassen,Wim 0.200000
AuthorShagina,Lyudmila 0.200000
AuthorBe&ncaron;u&scaron;,&Scaron;tefan 0.200000
AuthorCellio,Monica J. 0.200000
AuthorLuca,Ernesto William De 0.200000
AuthorBech,Annelise 0.200000
AuthorKirchmann,Heinz 0.200000
AuthorUrbano,Francesco 0.200000
AuthorWu,Yuanbin 0.200000
AuthorStewart,Ian 0.200000
AuthorOmuya,Adinoyi 0.200000
AuthorChoi,Eunsol 0.200000
AuthorYeung,D. 0.200000
AuthorLim,Nathalie Rose 0.200000
AuthorKoyama,Makoto 0.200000
AuthorTakagi,Toshihiro 0.200000
AuthorBroekett,Chris 0.200000
AuthorBailey,Stacey 0.200000
AuthorVr&Aring;&iexcl;&Auml;aj,Aljo&Aring;&iexcl;a 0.200000
AuthorGuo,Jiaqing 0.200000
AuthorNath,J. Saketha 0.200000
AuthorChen,Langzhou 0.200000
AuthorHuang,Chu-Ren 0.200000
AuthorDecitre,Paul 0.200000
AuthorChow,Yen-Lu 0.200000
AuthorLin,Koong H. C. 0.200000
AuthorMusat,Claudiu 0.200000
AuthorThrun,Sebastian 0.200000
AuthorMaterna,JiÅ™Ã­ 0.200000
AuthorNgai,Grace 0.211608
AuthorHolden,Natsuko 0.200000
AuthorArhar,&#x8A;pela 0.200000
AuthorGillis,Steven 0.200000
AuthorGavrila,Monica 0.200000
AuthorGweon,Gahgene 0.200000
AuthorAbuhakema,Ghazi 0.200000
AuthorKaramanis,Nikiforos 0.200000
AuthorSkadins,Raivis 0.200000
AuthorWeischedel,Ralph M. 0.200000
AuthorPierrehumbert,Janet B. 0.200000
AuthorNebel,Bernhard 0.200000
AuthorChou,George 0.200000
AuthorNguyen,Tu Anh T. 0.200000
AuthorNathan,David 0.200000
AuthorGlinos,Demetrios 0.200000
AuthorHe,Shizhu 0.200000
AuthorGiorgi,Alessandra 0.200000
AuthorMac an tSaoir,Ronan 0.200000
AuthorGogate,Vibhav 0.200000
AuthorMork,James G. 0.200000
AuthorKipper,Karin Christine 0.200000
AuthorDa Silva,Cassiana Fagundes 0.200000
AuthorIdiart,Marco 0.200000
AuthorYoshioka,Osamu 0.200000
AuthorFernandes,HilÃ¡rio 0.200000
AuthorKuhn,Tobias 0.200000
AuthorWang,Pengyu 0.200000
AuthorCorduneanu,Adrian 0.200000
AuthorAbeysinghe,Geetha 0.200000
AuthorRen,Zhixiang 0.200000
AuthorVadas,David 0.200000
AuthorLeshtanska,Magdalena 0.200000
AuthorHernault,Hugo 0.200000
AuthorCandito,Marie-Helene 0.200000
AuthorGoertzel,Izabela 0.200000
AuthorWang,Yiwen 0.200000
AuthorYamaguchi,Yukiko 0.200000
AuthorLeung,Hong C. 0.200000
AuthorBoxwell,Stephen 0.200000
AuthorEspeja,Sergio 0.200000
AuthorDeschamp,Philippe 0.200000
AuthorWilliams,Jason 0.200000
AuthorKlasinas,Ioannis 0.200000
AuthorXiaohu,Liu 0.200000
AuthorSperr,Henning 0.200000
AuthorHough,Julian 0.200000
AuthorEmerard,Francoise 0.200000
AuthorKruijff-Korbayova,Ivana 0.200000
AuthorJaeger,T. Florian 0.200000
AuthorNakov,Preslav 0.200000
AuthorWilson,Harold 0.200000
AuthorThomas,Ian 0.200000
AuthorMiller,David 0.200000
AuthorLebanon,Guy 0.200000
AuthorCowan,Rosa 0.200000
AuthorSpriet,Thierry 0.200000
AuthorTu,Zhaopeng 0.200000
AuthorVovsha,Ilia 0.200000
AuthorYessenalina,Ainur 0.200000
AuthorKosseim,Leila 0.200000
AuthorPedanekar,Niranjan 0.200000
AuthorKim,Joo-Kyung 0.200000
AuthorKang,Bo-Yeong 0.200000
AuthorLigozat,Anne-Laure 0.200000
AuthorTerada,Hiroshi 0.200000
AuthorLuttenberger,Michael 0.200000
AuthorPelz,Jeff B. 0.200000
AuthorOsada,Seiya 0.200000
Authorde Oliveira,Rodrigo 0.200000
AuthorChen,Yong-Zhi 0.200000
AuthorBranavan,S. R. K. 0.200000
AuthorWhang,Steven 0.200000
AuthorZhang,Chao 0.200000
AuthorHe,Yifan 0.200000
AuthorDing,Shuoyang 0.200000
AuthorShao,Yanqiu 0.200000
AuthorBakliwal,Akshat 0.200000
AuthorBouillon,Pierrette 0.200000
AuthorRosin,Paul 0.200000
AuthorAllen,Colin 0.200000
AuthorLindÃ©n,Krister 0.200000
AuthorPad&oacute;,Sebastian 0.200000
AuthorCarrillo,Maya 0.200000
AuthorWeissenbacher,Davy 0.200000
AuthorAmengual,J. C. 0.200000
AuthorMencke,Myriam 0.200000
AuthorMudge,Raphael 0.200000
AuthorSawada,Hiroshi 0.200000
AuthorGuo,Xi S. 0.200000
AuthorGreenwood,Mark A. 0.200000
AuthorZhang,Wenxiao 0.200000
AuthorSharafudinov,Anuar 0.200000
AuthorKaneko,Kimi 0.200000
AuthorMasui,Fumito 0.200000
AuthorRousseau,Anthony 0.200000
AuthorRoutledge,Bryan R. 0.200000
AuthorCui,Gaoying 0.200000
AuthorPalmer,Martha 0.200000
AuthorKatare,Rahul 0.200000
AuthorZhang,Chongyang 0.200000
AuthorLeal,Gabriela 0.200000
AuthorSegouat,J&eacute;r&eacute;mie 0.200000
AuthorRaymond,Geoffrey 0.200000
AuthorRaghavan,Vijay V. 0.200000
AuthorXiao,Chun 0.200000
AuthorYoshimoto,Akifumi 0.200000
AuthorTrujillo,Arturo 0.200000
AuthorAli,Aasim 0.200000
AuthorOchitani,Ryo 0.200000
AuthorCade,Whitney L. 0.200000
AuthorKhaltar,Badam-Osor 0.200000
AuthorRiha,Antonin 0.200000
AuthorMahgoub,H. E. 0.200000
AuthorOda,Hiroki 0.200000
AuthorRenaud,Alfred 0.200000
AuthorDara,Aswarth 0.200000
AuthorCosta,Fabrizio 0.200000
AuthorDomico,Kelly 0.200000
AuthorSchwer,Sylviane R. 0.200000
AuthorPan,Shimei 0.200000
AuthorRyan,Sean 0.200000
AuthorHuang,Liang 0.200000
AuthorAndreyev,Slava 0.200000
AuthorOza,Umangi 0.200000
AuthorAhn,Byung-Gyu 0.200000
AuthorSaul,Lawrence 0.200000
AuthorMiyajima,Chiyomi 0.200000
AuthorLevine,Robert D. 0.200000
AuthorMikami,Yoshiki 0.200000
AuthorQuintard,Ludovic 0.200000
AuthorChong,Mickey W. C. 0.200000
AuthorPa&scedil;ca,Marius 0.200000
